,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,book,level
1244,4.0,1.0,3.0,0.0,0.0,2.0,18.0,53,10.0,11.0,8.0,7.0,0,Pathfinder Kingmaker,3
1389,3.0,1.0,3.0,0.0,1.0,1.0,12.0,26,6.0,8.0,6.0,6.0,0,Pathfinder Kingmaker,1
1391,8.0,5.0,7.0,-4.0,5.0,-3.0,35.0,290,24.0,28.0,26.0,24.0,0,Pathfinder Kingmaker,14
1392,7.0,2.0,5.0,-3.0,5.0,0.0,33.0,220,23.0,25.0,22.0,19.0,0,Pathfinder Kingmaker,12
1394,0.0,2.0,2.0,2.0,4.0,4.0,25.0,150,19.0,15.0,15.0,21.0,0,Pathfinder Kingmaker,9
1396,5.0,8.0,6.0,5.0,5.0,10.0,45.0,300,32.0,33.0,35.0,32.0,3,Pathfinder Kingmaker,19
1397,5.0,2.0,3.0,0.0,2.0,4.0,33.0,215,22.0,23.0,21.0,23.0,0,Pathfinder Kingmaker,12
1399,0.0,3.0,0.0,1.0,2.0,-1.0,16.0,25,5.0,3.0,8.0,5.0,1,Pathfinder Kingmaker,1
1400,1.0,4.0,3.0,0.0,3.0,1.0,21.0,85,12.0,11.0,14.0,17.0,0,Pathfinder Kingmaker,5
1388,5.0,2.0,4.0,-4.0,4.0,-2.0,23.0,78,11.0,15.0,9.0,13.0,0,Pathfinder Kingmaker,5
1401,10.0,6.0,6.0,-4.0,6.0,6.0,44.0,395,33.0,35.0,33.0,31.0,0,Pathfinder Kingmaker,19
1403,9.0,6.0,9.0,-3.0,6.0,-2.0,39.0,330,28.0,32.0,27.0,29.0,0,Pathfinder Kingmaker,17
1405,0.0,6.0,2.0,4.0,2.0,4.0,27.0,70,15.0,13.0,17.0,15.0,1,Pathfinder Kingmaker,7
1407,8.0,6.0,10.0,8.0,6.0,10.0,48.0,470,38.0,38.0,34.0,34.0,0,Pathfinder Kingmaker,21
1408,7.0,5.0,6.0,-4.0,6.0,0.0,31.0,195,21.0,23.0,18.0,21.0,0,Pathfinder Kingmaker,11
1409,0.0,3.0,1.0,1.0,4.0,3.0,22.0,75,15.0,10.0,12.0,15.0,1,Pathfinder Kingmaker,6
1411,4.0,3.0,4.0,0.0,5.0,4.0,31.0,200,22.0,21.0,18.0,24.0,2,Pathfinder Kingmaker,11
1412,6.0,1.0,5.0,-2.0,2.0,-1.0,22.0,120,12.0,17.0,11.0,14.0,0,Pathfinder Kingmaker,6
1414,4.0,2.0,4.0,1.0,0.0,3.0,28.0,160,15.0,21.0,17.0,15.0,0,Pathfinder Kingmaker,9
1402,0.0,4.0,2.0,2.0,3.0,5.0,32.0,145,20.0,19.0,23.0,20.0,2,Pathfinder Kingmaker,11
1386,4.0,8.0,8.0,6.0,8.0,11.0,49.0,495,41.0,39.0,43.0,41.0,3,Pathfinder Kingmaker,21
