,str,dex,con,int,wis,cha,ac,hp,fortitude,reflex,will,num_immunities,land_speed,fly,spells_nr_lvl_1,spells_nr_lvl_2,spells_nr_lvl_3,spells_nr_lvl_4,spells_nr_lvl_5,spells_nr_lvl_6,spells_nr_lvl_7,spells_nr_lvl_8,spells_nr_lvl_9,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level
1356,9.0,5.0,6.0,1.0,5.0,6.0,39.0,295,30.0,27.0,27.0,0,35.0,0,0,0,0,0,0,0,0,0,0,33,36.5,29,21.5,0,0,0,Pathfinder Kingmaker,16
1390,5.0,2.0,4.0,-4.0,4.0,-2.0,23.0,78,15.0,9.0,13.0,0,15.0,0,0,0,0,0,0,0,0,0,0,14,16.0,0,0.0,0,0,0,Pathfinder Kingmaker,5
1391,3.0,1.0,3.0,0.0,1.0,1.0,12.0,26,8.0,6.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,8,6.5,6,6.5,0,0,0,Pathfinder Kingmaker,1
1393,8.0,5.0,7.0,-4.0,5.0,-3.0,35.0,290,28.0,26.0,24.0,0,20.0,0,0,0,0,0,0,0,0,0,0,29,29.5,0,0.0,0,0,0,Pathfinder Kingmaker,14
1394,7.0,2.0,5.0,-3.0,5.0,0.0,33.0,220,25.0,22.0,19.0,0,25.0,40,0,0,0,0,0,0,0,0,0,26,24.5,0,0.0,0,0,0,Pathfinder Kingmaker,12
1396,0.0,2.0,2.0,2.0,4.0,4.0,25.0,150,15.0,15.0,21.0,0,25.0,0,0,0,0,0,0,0,0,0,0,17,5.5,17,6.5,0,0,0,Pathfinder Kingmaker,9
1398,5.0,8.0,6.0,5.0,5.0,10.0,45.0,300,33.0,35.0,32.0,0,25.0,0,12,8,7,2,5,5,4,2,3,35,35.0,0,0.0,10,41,36,Pathfinder Kingmaker,19
1399,5.0,2.0,3.0,0.0,2.0,4.0,33.0,215,23.0,21.0,23.0,0,25.0,0,1,1,1,1,0,0,0,0,0,26,22.0,23,12.5,4,30,22,Pathfinder Kingmaker,12
1401,0.0,3.0,0.0,1.0,2.0,-1.0,16.0,25,3.0,8.0,5.0,0,20.0,0,1,1,0,0,0,0,0,0,0,9,3.5,0,0.0,2,17,9,Pathfinder Kingmaker,1
1388,4.0,8.0,8.0,6.0,8.0,11.0,49.0,495,39.0,43.0,41.0,1,30.0,30,7,9,7,5,6,11,5,6,2,41,50.0,41,32.0,10,46,42,Pathfinder Kingmaker,21
1402,1.0,4.0,3.0,0.0,3.0,1.0,21.0,85,11.0,14.0,17.0,0,25.0,0,0,0,0,0,0,0,0,0,0,13,7.5,0,0.0,0,0,0,Pathfinder Kingmaker,5
1404,0.0,4.0,2.0,2.0,3.0,5.0,32.0,145,19.0,23.0,20.0,0,30.0,0,3,3,3,4,3,2,0,0,0,23,9.0,23,9.0,6,30,22,Pathfinder Kingmaker,11
1405,9.0,6.0,9.0,-3.0,6.0,-2.0,39.0,330,32.0,27.0,29.0,2,35.0,0,0,0,0,0,0,0,0,0,0,34,34.5,0,0.0,0,0,0,Pathfinder Kingmaker,17
1407,0.0,6.0,2.0,4.0,2.0,4.0,27.0,70,13.0,17.0,15.0,0,100.0,0,1,1,0,0,0,0,0,0,0,18,6.5,0,0.0,2,20,12,Pathfinder Kingmaker,7
1409,8.0,6.0,10.0,8.0,6.0,10.0,48.0,470,38.0,34.0,34.0,0,35.0,0,1,0,0,2,1,1,4,1,3,41,50.0,0,0.0,10,45,37,Pathfinder Kingmaker,21
1410,7.0,5.0,6.0,-4.0,6.0,0.0,31.0,195,23.0,18.0,21.0,0,5.0,0,0,0,0,0,0,0,0,0,0,24,23.5,0,0.0,0,0,0,Pathfinder Kingmaker,11
1411,0.0,3.0,1.0,1.0,4.0,3.0,22.0,75,10.0,12.0,15.0,0,25.0,0,5,3,3,0,0,0,0,0,0,15,8.5,14,8.5,3,23,13,Pathfinder Kingmaker,6
1413,4.0,3.0,4.0,0.0,5.0,4.0,31.0,200,21.0,18.0,24.0,0,20.0,0,5,4,2,3,2,1,0,0,0,22,18.5,0,0.0,6,30,22,Pathfinder Kingmaker,11
1414,6.0,1.0,5.0,-2.0,2.0,-1.0,22.0,120,17.0,11.0,14.0,1,20.0,0,0,0,0,0,0,0,0,0,0,17,17.0,0,0.0,0,0,0,Pathfinder Kingmaker,6
1403,10.0,6.0,6.0,-4.0,6.0,6.0,44.0,395,35.0,33.0,31.0,1,50.0,0,0,0,0,0,0,0,0,0,0,37,28.0,33,28.0,0,0,0,Pathfinder Kingmaker,19
1387,9.0,6.0,5.0,6.0,5.0,0.0,40.0,300,32.0,29.0,28.0,0,30.0,30,0,0,0,0,1,0,2,2,1,32,22.0,0,0.0,9,38,28,Pathfinder Kingmaker,17
1386,10.0,2.0,8.0,-4.0,0.0,-1.0,43.0,325,38.0,32.0,30.0,0,40.0,0,0,0,1,0,0,1,0,0,0,38,36.0,0,0.0,6,37,29,Pathfinder Kingmaker,19
1385,9.0,-1.0,9.0,-5.0,0.0,-5.0,42.0,255,33.0,27.0,29.0,1,30.0,0,0,0,0,0,0,0,0,0,0,35,33.5,0,0.0,0,0,0,Pathfinder Kingmaker,18
1360,5.0,6.0,5.0,9.0,5.0,6.0,42.0,240,27.0,30.0,33.0,1,30.0,0,1,1,3,2,2,0,1,1,1,34,34.0,0,0.0,9,40,34,Pathfinder Kingmaker,18
1361,10.0,6.0,7.0,2.0,7.0,6.0,47.0,430,38.0,33.0,36.0,2,35.0,60,0,0,0,0,0,1,0,0,0,38,36.0,38,35.0,6,44,36,Pathfinder Kingmaker,21
1362,1.0,2.0,1.0,0.0,4.0,3.0,20.0,65,9.0,12.0,14.0,0,25.0,0,4,2,0,0,0,0,0,0,0,9,6.5,0,0.0,2,21,12,Pathfinder Kingmaker,4
1364,1.0,7.0,3.0,2.0,5.0,2.0,32.0,180,18.0,24.0,22.0,4,20.0,35,0,1,0,0,1,0,0,0,0,24,8.5,0,0.0,5,30,22,Pathfinder Kingmaker,11
1367,4.0,2.0,3.0,0.0,1.0,0.0,17.0,36,9.0,8.0,7.0,0,25.0,0,0,0,0,0,0,0,0,0,0,10,8.5,8,7.5,0,0,0,Pathfinder Kingmaker,2
1369,3.0,1.0,2.0,0.0,2.0,0.0,13.0,20,8.0,5.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,7,6.5,5,4.5,0,0,0,Pathfinder Kingmaker,1
1370,4.0,2.0,0.0,0.0,4.0,2.0,21.0,85,9.0,13.0,15.0,0,25.0,0,5,3,2,0,0,0,0,0,0,13,8.5,13,8.5,3,22,14,Pathfinder Kingmaker,5
1371,5.0,8.0,6.0,-1.0,6.0,0.0,42.0,230,30.0,34.0,28.0,2,30.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Kingmaker,18
1372,6.0,8.0,4.0,8.0,6.0,4.0,37.0,210,23.0,29.0,27.0,2,30.0,30,0,1,3,2,0,0,0,1,0,29,30.5,0,0.0,8,32,29,Pathfinder Kingmaker,15
1373,2.0,3.0,1.0,0.0,1.0,4.0,21.0,78,11.0,13.0,11.0,0,20.0,0,7,6,3,0,0,0,0,0,0,15,12.0,0,0.0,3,22,14,Pathfinder Kingmaker,5
