round type + metrics,no_rounding,no_rounding,no_rounding,round 0.5,round 0.5,round 0.5,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75
model,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy
linear_regression,0.49662587289194216;0.3507078691999656,,0.48220733574171176,0.21339220014716703,0.7939661515820456,0.48220733574171176,0.21339220014716703,0.7939661515820456,0.49871062596197785,0.22075055187637968,0.7888153053715967,0.45147130905428595,0.17880794701986755,0.8292862398822664,0.48220733574171176,0.21339220014716703,0.7939661515820456,0.4674858782440555,0.20235467255334805,0.8035320088300221,0.4579443462720778,0.1861662987490802,0.8211920529801324
linear_regression_ridge,0.4970143054374253,0.3501236744822544,,0.48449088759427017,0.2141280353200883,0.7939661515820456,0.48144374486558517,0.21265636497424578,0.7947019867549668,0.47914567090962523,0.20309050772626933,0.8057395143487859,0.44573029590632685,0.17365710080941868,0.8344370860927153,0.48144374486558517,0.21265636497424578,0.7947019867549668,0.4745161355674929,0.1986754966887417,0.8101545253863135,0.45147130905428595,0.18027961736571008,0.8270787343635025
linear_regression_lasso,0.5308263849849224,0.3636081612931791,,0.5203723125177067,0.23841059602649006,0.7726269315673289,0.5139696752520856,0.23031640912435614,0.7814569536423841,0.5224890899854173,0.2420897718910964,0.7682119205298014,0.46114679330365704,0.18469462840323767,0.8241353936718175,0.5139696752520856,0.23031640912435614,0.7814569536423841,0.48751898512116304,0.2097130242825607,0.7991169977924945,0.4674858782440555,0.19205298013245034,0.8160412067696836
lad_regression,0.5261066124621004,0.33380057883884334,,0.4768365217059942,0.1949963208241354,0.8182487122884474,0.4768365217059942,0.1949963208241354,0.8182487122884474,0.5074862663387483,0.22663723325974983,0.7858719646799117,0.44074991282042714,0.16335540838852097,0.8491537895511405,0.4768365217059942,0.1949963208241354,0.8182487122884474,0.4706234025729075,0.18910963944076528,0.8241353936718175,0.4440763744480212,0.1692420897718911,0.8417954378219279
huber_regression,0.5281360944629511,0.33851046092878395,,0.4760643163058431,0.19426048565121412,0.8189845474613686,0.4760643163058431,0.19426048565121412,0.8189845474613686,0.4972329616000384,0.2119205298013245,0.8020603384841796,0.4399143672105889,0.16409124356144222,0.847682119205298,0.4760643163058431,0.19426048565121412,0.8189845474613686,0.4776074785905183,0.18984547461368653,0.8241353936718175,0.44573029590632685,0.1692420897718911,0.8425312729948492
linear_svm,0.5292634809771138,0.33311158145054554,,0.47837719299577147,0.19646799116997793,0.8167770419426048,0.47837719299577147,0.19646799116997793,0.8167770419426048,0.48827307526269564,0.20603384841795438,0.8072111846946284,0.44324709944902957,0.1670345842531273,0.8447387785136129,0.47837719299577147,0.19646799116997793,0.8167770419426048,0.4682722301509424,0.18984547461368653,0.8219278881530537,0.4481997347249388,0.17292126563649743,0.8381162619573216
kernel_svm,0.26530427457789574,0.17231159922406644,,0.26578219767403816,0.06916850625459897,0.9315673289183223,0.26578219767403816,0.06916850625459897,0.9315673289183223,0.26018615625885333,0.06181015452538632,0.9411331861662987,0.2301741350593744,0.04856512141280353,0.9536423841059603,0.26578219767403816,0.06916850625459897,0.9315673289183223,0.2456389305048037,0.05739514348785872,0.9440765268579838,0.23957283545481262,0.052980132450331126,0.9492273730684326
knn,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
random_forest,0.127630606611147,0.07823105224429723,,0.06644554941850954,0.004415011037527594,0.9955849889624724,0.06065621043723658,0.003679175864606328,0.9963208241353937,0.09396819714698791,0.008830022075055188,0.9911699779249448,0.0542525639180773,0.0029433406916850625,0.9970566593083149,0.06065621043723658,0.003679175864606328,0.9963208241353937,0.0542525639180773,0.0029433406916850625,0.9970566593083149,0.0542525639180773,0.0029433406916850625,0.9970566593083149
lightgbm,0.002890589704011096,0.001587874760387846,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
