round type + metrics,no_rounding,no_rounding,no_rounding,round 0.5,round 0.5,round 0.5,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75
model,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy
linear_regression,0.5907579594448698,0.39069408782741516,,0.5840116665270976,0.27648839556004035,0.7443659603094517,0.5840116665270976,0.27648839556004035,0.7443659603094517,0.5979559306405676,0.29027917928018837,0.7319206189034645,0.5496601340193045,0.24705147147673398,0.7702657248570468,0.5840116665270976,0.27648839556004035,0.7443659603094517,0.5753075779820321,0.27110662630339727,0.7480659266733939,0.5508826601412323,0.24974235610505555,0.7669021190716448
linear_regression_ridge,0.5910949618089876,0.38955615725717735,,0.582281257785717,0.27648839556004035,0.7436932391523713,0.5782234992361984,0.27514295324587956,0.7436932391523713,0.5911671854080389,0.2882610158089472,0.7312478977463841,0.5468942975053741,0.24267172090096586,0.7753111335351497,0.5782234992361984,0.27514295324587956,0.7436932391523713,0.5706111110265106,0.26370669357551296,0.7554658594012782,0.549348939447614,0.24603532668636782,0.7716111671712075
linear_regression_lasso,0.5970812480712857,0.3867644518745403,,0.5750151725867864,0.26538849646821394,0.7544567776656576,0.5750151725867864,0.26538849646821394,0.7544567776656576,0.5903131028256463,0.2731247897746384,0.7500840901446351,0.5459631024206126,0.23559782392196207,0.7823747056844937,0.5750151725867864,0.26538849646821394,0.7544567776656576,0.5595995877597852,0.24924318869828457,0.7699293642785066,0.5444207070933649,0.23727962681466305,0.7800201816347124
lad_regression,0.6133225069472908,0.37924252939300385,,0.5928716594462109,0.26404305415405316,0.7628657921291625,0.5874571929785524,0.2610158089471914,0.7648839556004037,0.5914516055281301,0.2684157416750757,0.7558022199798183,0.5698331792971373,0.23805005198717433,0.7884291960982173,0.5874571929785524,0.2610158089471914,0.7648839556004037,0.5811247893992786,0.2515977127480659,0.774302051799529,0.5659833608038852,0.2404045760369557,0.7837201479986545
huber_regression,0.6055597466335195,0.3781910694864315,,0.586310933948941,0.2596703666330306,0.7662293979145645,0.586310933948941,0.2596703666330306,0.7662293979145645,0.5917358889406178,0.2680793810965355,0.7574840228725194,0.5591127561300959,0.2353552436636541,0.7891019172552977,0.586310933948941,0.2596703666330306,0.7662293979145645,0.5679522821681827,0.24587958291288262,0.7773292970063909,0.5542790856696191,0.23670068597781488,0.7854019508913556
linear_svm,0.6087516147061581,0.3770617088159134,,0.5834354338593752,0.260343087790111,0.7655566767574841,0.5808353125248289,0.2600067272115708,0.7648839556004037,0.5842995697570708,0.262024890682812,0.7632021527077026,0.5551940938277374,0.2336880485964213,0.7907837201479987,0.5808353125248289,0.2600067272115708,0.7648839556004037,0.5694309420050407,0.24957954927682477,0.774302051799529,0.5545879196882332,0.23570621206766249,0.7874201143625967
kernel_svm,0.30904591534830894,0.199816501077554,,0.33717929287930176,0.10494450050454086,0.8990918264379415,0.33717929287930176,0.10494450050454086,0.8990918264379415,0.3455546344382741,0.10729902455432223,0.8984191052808611,0.2940403550413353,0.07651851642360293,0.9283551967709385,0.33717929287930176,0.10494450050454086,0.8990918264379415,0.3296126011979564,0.09922637066935755,0.905146316851665,0.2957512673319509,0.0782003193163039,0.9263370332996973
knn,0.012968434341511605,0.0003363605785401951,,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893,0.13601408684291025,0.01849983181971073,0.9815001681802893
random_forest,0.14839363756426208,0.0884930485480435,,0.17781421310676584,0.03094517322569795,0.9693911873528422,0.16908769670179016,0.02791792801883619,0.972418432559704,0.18971183912397474,0.035317860746720484,0.9650184998318198,0.08984794869647655,0.007399932727884292,0.992936427850656,0.16908769670179016,0.02791792801883619,0.972418432559704,0.16908769670179016,0.02791792801883619,0.972418432559704,0.08984794869647655,0.007399932727884292,0.992936427850656
